collection,sms_txt_dirty,sms_txt_clean,collection_log
ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.","arngd marriag u r walkin unfortunt snake bite u. bt love marriag danc frnt snake &amp; sayin bite me, bite me.",1
ham,Huh so early.. Then Ã¼ having dinner outside izzit?,huh early.. ã¼ dinner outsid izzit?,1
ham,Ok anyway no need to change with what you said,ok anyway need chang said,1
spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,tri contact repli offer 750 min 150 textand new video phone call 08002988890 repli free deliveri tomorrow,0
ham,my ex-wife was not able to have kids. Do you want kids one day?,ex-wif abl kids. want kid one day?,1
ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,how scotland. hope show jjc tendencies. take care. live dream,1
ham,Tell them u have a headache and just want to use 1 hour of sick time.,tell u headach want use 1 hour sick time.,1
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ","dun thk i'll quit yet... hmmm, go jazz ? yogasana oso can... go meet em lesson den...",1
ham,Pete can you please ring meive hardly gotany credit,pete pleas ring meiv hard gotani credit,1
ham,Ya srsly better than yi tho,ya srsli better yi tho,1
ham,"I'm in a meeting, call me later at","i'm meeting, call later",1
spam,"For ur chance to win a Â£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk","ur chanc win â£250 wkli shop spree txt: shop 80878. t's&c www.txt-2-shop.com custcar 08715705022, 1x150p/wk",0
spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,special select receiv 2000 pound award! call 08712402050 line close. cost 10ppm. 16+. t&cs apply. ag promo,0
spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,private! 2003 account statement 07753741225 show 800 un-redeem s. i. m. points. call 08715203677 identifi code: 42478 expir 24/10/04,0
ham,You still at grand prix?,still grand prix?,1
ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...","met stranger choos friend. long world stands, friendship never ends. let friend forever!!! gud nitz...",1
ham,I am great! How are you?,great! you?,1
ham,Gud mrng dear have a nice day,gud mrng dear nice day,1
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,import custom servic announcement. call freephon 0800 542 0825 now!,0
ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,do. exhaust train morning. much wine pie. sleep well,1
ham,I'm going out to buy mum's present ar.,i'm go buy mum present ar.,1
ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,mind blastin.. tsunami occur on.. rajnik stop swim indian ocean..:-d,1
ham,If u sending her home first it's ok lor. I'm not ready yet.,u send home first ok lor. i'm readi yet.,1
ham,Speaking of does he have any cash yet?,speak cash yet?,1
ham,Be happy there. I will come after noon,happi there. come noon,1
ham,Meet after lunch la...,meet lunch la...,1
ham,TaKe CaRE n gET WeLL sOOn,take care n get well soon,1
spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,xclusive@clubsaisai 2morow 28/5 soire special zouk nichol paris.fre rose 2 ladi !!! info: 07946746291/07880867867,0
ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter,meant say cant wait see u get bore bridgwat banter,1
ham,Neva mind it's ok..,neva mind ok..,1
ham,"It's fine, imma get a drink or somethin. Want me to come find you?","fine, imma get drink somethin. want come find you?",1
spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,22 day kick off! euro2004 u kept date latest news result daily. remov send get txt stop 83222,0
ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,valentin game. . . send dis msg ur friends. .. 5 answer r someon realli love u. ques- colour suit best?rpli,1
ham,I have many dependents,mani depend,1
ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,thanx4 today cer nice 2 catch ave 2 find time often oh well take care c u soon.c,1
ham,I called and said all to him:)then he have to choose this future.,call said him:)then choos future.,1
ham,Happy valentines day I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...,happi valentin day know earli hundr handsom beauti wish. thought finish aunti uncl 1st...,1
ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,like v shock leh. cos tell shuhui like tell leona also. like dat almost know liao. got ask abt ur reaction lor.,1
ham,For my family happiness..,famili happiness..,1
ham,I come n pick Ã¼ up... Come out immediately aft ur lesson...,come n pick ã¼ up... come immedi aft ur lesson...,1
ham,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,let snow. let snow. kind weather bring ppl togeth friendship grow.,1
ham,Dear we got  &lt;#&gt;  dollars hi hi,dear got &lt;#&gt; dollar hi hi,1
ham,Good words.... But words may leave u in dismay many times.,good words.... word may leav u dismay mani times.,1
ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,make sure alex know birthday fifteen minut far concern,1
ham,"sorry, no, have got few things to do. may be in pub later.","sorry, no, got thing do. may pub later.",1
ham,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash","nah straight, bring bud drink someth that actual littl use straight cash",1
ham,"Haha good to hear, I'm officially paid and on the market for an 8th","haha good hear, i'm offici paid market 8th",1
ham,How many licks does it take to get to the center of a tootsie pop?,mani lick take get center tootsi pop?,1
ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,yup thk r e teacher said make face look longer. darren ask 2 cut short.,1
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,new textbuddi chat 2 horni guy ur area 4 25p free 2 receiv search postcod gaytextbuddy.com. txt one name 89693,0
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a Â£350 award. If your number matches call 09064019014 to receive your Â£350 award.,today vodafon number end 4882 select receiv â£350 award. number match call 09064019014 receiv â£350 award.,0
ham,Please dont say like that. Hi hi hi,pleas dont say like that. hi hi hi,1
ham,Thank u!,thank u!,1
ham,Oh that was a forwarded message. I thought you send that to me,oh forward message. thought send,1
ham,Got it. Seventeen pounds for seven hundred ml â hope ok.,got it. seventeen pound seven hundr ml â hope ok.,1
spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.","dear voucher holder, 2 claim week offer, pc go http://www.e-tlp.co.uk/expressoff ts&cs apply.2 stop text txt stop 80062.",0
ham,Me n him so funny...,n funny...,1
ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola","sweetheart, hope kind day! one load reason smile. biola",1
ham,When Ã¼ login dat time... Dad fetching Ã¼ home now?,ã¼ login dat time... dad fetch ã¼ home now?,1
ham,"What will we do in the shower, baby?","shower, baby?",1
ham,I had askd u a question some hours before. Its answer,askd u question hour before. answer,1
ham,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out","well imma definit need restock thanksgiving, i'll let know i'm",1
ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ","said kiss, kiss, can't sound effects! gorgeous man he! kind person need smile brighten day!",1
ham,Probably gonna swing by in a wee bit,probabl gonna swing wee bit,1
ham,Ya very nice. . .be ready on thursday,ya nice. . .be readi thursday,1
ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean weâre in bâham. Have a jolly good rest of week,allo! brave buse taken train triumphed. mean weâr bâham. jolli good rest week,1
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?","watch cartoon, listen music &amp; eve go templ &amp; church.. u?",1
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,mind ask happened? dont say uncomfortable.,1
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,private! 2003 account statement show 800 un-redeem s. i. m. points. call 08715203694 identifi code: 40533 expir 31/10/04,0
ham,No prob. I will send to your email.,prob. send email.,1
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm","?1,000 cash ?2,000 prize! claim, call09050000327. t&c: rstm, sw7 3ss. 150ppm",0
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),that cool! sometim slow gentle. sonetim rough hard :),1
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,i'm gonna say no. sorry. would normal start panic time. sorri again! see tuesday?,1
ham,"Wait, do you know if wesleys in town? I bet she does hella drugs!","wait, know wesley town? bet hella drugs!",1
ham,Fine i miss you very much.,fine miss much.,1
ham,Did u got that persons story,u got person stori,1
ham,Tell them the drug dealer's getting impatient,tell drug dealer get impati,1
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng","sun cant come earth send luv rays. cloud cant come river send luv rain. cant come meet u, send care msg u. gud evng",1
ham,You will be in the place of that man,place man,1
ham,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com","doesnt make sens take unless free. need know more, wikipedia.com",1
spam,88800 and 89034 are premium phone services call 08718711108,88800 89034 premium phone servic call 08718711108,0
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '","sea, lay rock. rock, envelope. envelope, paper. paper, 3 words... '",1
ham,Then mum's repent how?,mum repent how?,1
ham,Sorry me going home first... Daddy come fetch Ã¼ later...,sorri go home first... daddi come fetch ã¼ later...,1
ham,Leave it de:-). Start Prepare for next:-)..,leav de:-). start prepar next:-)..,1
ham,Yes baby! We can study all the positions of the kama sutra ;),yes baby! studi posit kama sutra ;),1
ham,En chikku nange bakra msg kalstiya..then had tea/coffee?,en chikku nang bakra msg kalstiya..then tea/coffee?,1
ham,Carlos'll be here in a minute if you still need to buy,carlos'l minut still need buy,1
ham,This pay is  &lt;DECIMAL&gt;  lakhs:),pay &lt;decimal&gt; lakhs:),1
ham,Have a good evening! Ttyl,good evening! ttyl,1
ham,Did u receive my msg?,u receiv msg?,1
ham,Ho ho - big belly laugh! See ya tomo,ho ho - big belli laugh! see ya tomo,1
spam,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468","sms. ac sun0819 post hello:""you seem cool, want say hi. hi!!!"" stop? send stop 62468",0
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just Â£1.50 per wk 2 opt out send STOP 08452810071 16,get ur 1st rington free now! repli msg tone. gr8 top 20 tone phone everi week â£1.50 per wk 2 opt send stop 08452810071 16,0
ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.","ditto. worri say anyth anymore. like said last night, whatev want i'll same. peace.",1
ham,"I've got  &lt;#&gt; , any way I could pick up?","i'v got &lt;#&gt; , way could pick up?",1
ham,"I dont knw pa, i just drink milk..","dont knw pa, drink milk..",1
ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,maybe?! say hi find got card. great escap wetherspoons?,1
ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...","piggy, r u awake? bet u'r still sleeping. i'm go 4 lunch now...",1
ham,Cause I'm not freaky lol,caus i'm freaki lol,1
ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,miss call caus yell scrappy. miss u. can't wait u come home. i'm lone today.,1
ham,What is this 'hex' place you talk of? Explain!,hex place talk of? explain!,1
ham,Ã log off 4 wat. It's sdryb8i,ã log 4 wat. sdryb8i,1
ham,Is xy going 4 e lunch?,xy go 4 e lunch?,1
spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,hi i'm sue. 20 year old work lapdancer. love sex. text live - i'm bedroom now. text sue 89555. textoper g2 1da 150ppmsg 18+,0
ham,I wanted to ask Ã¼ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,want ask ã¼ wait 4 finish lect. cos lect finish hour anyway.,1
ham,Have you finished work yet? :),finish work yet? :),1
ham,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8","everi king cri babi everi great build map.. imprtant u r today, u wil reach tomorw. gud ni8",1
ham,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.","dear,m cherthala.in case u r come cochin pls call bfore u start.i shall also reach accordingly.or tell day u r coming.tmorow engag an holiday.",1
ham,Thanks love. But am i doing torch or bold.,thank love. torch bold.,1
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,<forward 448712404000>pleas call 08712404000 immedi urgent messag wait you.,0
ham,Was the farm open?,farm open?,1
ham,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.","sorri troubl u again. buy 4d dad again? 1405, 1680, 1843. 2 big 1 small, sat n sun. thanx.",1
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola","sister law, hope great month. say hey. abiola",1
ham,Will purchase d stuff today and mail to you. Do you have a po box number?,purchas stuff today mail you. po box number?,1
ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,ah poop. look like ill prob send laptop get fix cuz gpu problem,1
ham,Good. Good job. I like entrepreneurs,good. good job. like entrepreneur,1
ham,"Aight, you close by or still down around alex's place?","aight, close still around alex place?",1
ham,meet you in corporation st outside gap â¦ you can see how my mind is working!,meet corpor st outsid gap â¦ see mind working!,1
ham,Mum ask Ã¼ to buy food home...,mum ask ã¼ buy food home...,1
ham,K..u also dont msg or reply to his msg..,k..u also dont msg repli msg..,1
ham,How much r Ã¼ willing to pay?,much r ã¼ will pay?,1
ham,"Sorry, I'll call later","sorry, i'll call later",1
ham,What is important is that you prevent dehydration by giving her enough fluids,import prevent dehydr give enough fluid,1
ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!","that bit weird, even ?- suppos happening? good idea, sure pub!",1
ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,true dear..i sat pray even felt so.so sms'd time...,1
ham,"I don't think I can get away for a trek that long with family in town, sorry","think get away trek long famili town, sorri",1
ham,So when do you wanna gym harri,wanna gym harri,1
ham,Quite late lar... Ard 12 anyway i wun b drivin...,quit late lar... ard 12 anyway wun b drivin...,1
spam,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT","review keep fantast nokia n-gage game deck club nokia, go 2 www.cnupdates.com/newsletter. unsubscrib alert repli word",0
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,4mths half price orang line rental & latest camera phone 4 free. phone 11mths+? call mobilesdirect free 08000938767 updat now! or2stoptxt t&cs,0
ham,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..","height confidence: aeronaut professor wer calld &amp; wer askd 2 sit aeroplane. aftr sat wer told dat plane ws made students. dey hurri plane.. bt 1 didnt move... said:""if made students,thi wont even start........ datz confidence..",1
ham,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,seem like weird time night g want come smoke day shitstorm attribut alway come make everyon smoke,1
spam,08714712388 between 10am-7pm Cost 10p,08714712388 10am-7pm cost 10p,0
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.","save stress. person dorm account, send account detail money sent you.",1
ham,He also knows about lunch menu only da. . I know,also know lunch menu da. . know,1
ham,When i have stuff to sell i.ll tell you,stuff sell i.ll tell,1
spam,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON Â£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxÂ£7. 50,+449071512431 urgent! 2nd attempt contact u!u â£1250 call 09071512433 b4 050703 t&csbcm4235wc1n3xx. callcost 150ppm mobilesvary. maxâ£7. 50,0
ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,book lesson? msg me... call work sth... i'm go get specs. membership px3748,1
spam,You have WON a guaranteed Â£1000 cash or a Â£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,guarante â£1000 cash â£2000 prize. claim yr prize call custom servic repres 08714712394 10am-7pm,0
ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,macha dont feel upset.i assum mindset.believ one even wonder plan us.let life begin again.cal anytim,1
ham,Oh is it? Send me the address,oh it? send address,1
ham,S'fine. Anytime. All the best with it.,s'fine. anytime. best it.,1
ham,That is wondar full flim.,wondar full flim.,1
ham,Ya even those cookies have jelly on them,ya even cooki jelli,1
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.","world run still.mayb feel same,so it.or admit,i mad.then correction?or let call life.and keep run world,may u r also running.let run.",1
ham,Got it! It looks scrumptious... daddy wants to eat you all night long!,got it! look scrumptious... daddi want eat night long!,1
ham,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,cos lar i'm ba dao ok... 1 pm lor... u never ask go ah... said u would ask fri said u ask today...,1
ham,"Alright omw, gotta change my order to a half8th","alright omw, gotta chang order half8th",1
ham,Exactly. Anyways how far. Is jide her to study or just visiting,exactly. anyway far. jide studi visit,1
ham,Dunno y u ask me.,dunno u ask me.,1
spam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,email alertfrom: jeri stewartsize: 2kbsubject: low-cost prescripiton drvgsto listen email call 123,0
ham,No he didn't. Spring is coming early yay!,didn't. spring come earli yay!,1
ham,Lol you won't feel bad when I use her money to take you out to a steak dinner =D,lol feel bad use money take steak dinner =d,1
ham,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,even u dont get troubl convincing..just tel twice tel neglect msgs dont c read it..just dont repli,1
ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,leav qatar tonit search opportunity.al went fast.pl add ur prayer dear.rakhesh,1
ham,Then why no one talking to me,one talk,1
ham,Thanks for looking out for me. I really appreciate.,thank look me. realli appreciate.,1
spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY Â£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,hi. custom loyalti offer:th new nokia6650 mobil â£10 txtauction! txt word: start no: 81151 & get now! 4t&ctxt tc 150p/mtmsg,0
ham,Wish i were with you now!,wish now!,1
ham,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,haha mayb u'r rite... u know well. da feel like someon gd lor. u faster go find one gal group attach liao.,1
ham,Yes i will be there. Glad you made it.,yes there. glad made it.,1
ham,Do well :)all will for little time. Thing of good times ahead:,well :)all littl time. thing good time ahead:,1
ham,Just got up. have to be out of the room very soon. â¦. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,got up. room soon. â¦. put clock back til 8 shout everyon get realis 7. wahay. anoth hour bed.,1
ham,Ok. There may be a free gym about.,ok. may free gym about.,1
ham,Men like shorter ladies. Gaze up into his eyes.,men like shorter ladies. gaze eyes.,1
ham,Dunno he jus say go lido. Same time 930.,dunno jus say go lido. time 930.,1
ham,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!","promis take good care you, princess. run now. pleas send pic get chance. ttyl!",1
spam,U are subscribed to the best Mobile Content Service in the UK for Â£3 per 10 days until you send STOP to 82324. Helpline 08706091795,u subscrib best mobil content servic uk â£3 per 10 day send stop 82324. helplin 08706091795,0
ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,reason we'v spoken year? anyway great week best exam,1
ham,By monday next week. Give me the full gist,monday next week. give full gist,1
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?","realiz 40 years, we'll thousand old ladi run around tattoos?",0
spam,You have an important customer service announcement from PREMIER.,import custom servic announc premier.,0
ham,Dont gimme that lip caveboy,dont gimm lip caveboy,1
ham,When did you get to the library,get librari,1
ham,Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,reali sorry-i recognis number confus :) r u please?!,1
ham,So why didnt you holla?,didnt holla?,1
ham,Cant think of anyone with * spare room off * top of my head,cant think anyon * spare room * top head,1
ham,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!","faith make thing possible,hop make thing work,lov make thing beautiful,may three christmas!merri christmas!",1
ham,U should have made an appointment,u made appoint,1
ham,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts","call you/carlo is/ar here, phone vibrat act might hear text",1
spam,"Romantic Paris. 2 nights, 2 flights from Â£79 Book now 4 next year. Call 08704439680Ts&Cs apply.","romant paris. 2 nights, 2 flight â£79 book 4 next year. call 08704439680ts&cs apply.",0
ham,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.","grandmas. oh dear, u still ill? felt shit morn think hungover! anoth night then. leav sat.",1
spam,Urgent Ur Â£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 Â£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,urgent ur â£500 guarante award still unclaimed! call 09066368327 closingdate04/09/02 claimcod m39m51 â£1.50pmmorefrommobile2bremoved-mobypobox734ls27yf,0
ham,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,noth jus tot u would ask cos u ba gua... went mt faber yest... yest jus went alreadi mah today go out... jus call lor...,1
ham,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..","wish famili merri ""x"" mas happi new year advance..",1
spam,UR awarded a City Break and could WIN a Â£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 Â£1.50perWKsub,ur award citi break could win â£200 summer shop spree everi wk. txt store 88039 . skilgme. tscs087147403231winawk!age16 â£1.50perwksub,0
ham,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...","i'm nt goin, got somethin on, unless meetin 4 dinner lor... haha, wonder go tis time...",1
ham,"Sorry, I'll call later","sorry, i'll call later",1
ham,I cant pick the phone right now. Pls send a message,cant pick phone right now. pls send messag,1
ham,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,lol know! they'r dramatic. school alreadi close tomorrow. appar can't drive inch snow suppos get.,1
ham,Not getting anywhere with this damn job hunting over here!,get anywher damn job hunt here!,1
ham,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,lol! u drunkard! hair moment. yeah still 4 tonight. wat plan?,1
ham,"idc get over here, you are not weaseling your way out of this shit twice in a row","idc get here, weasel way shit twice row",1
ham,I wil be there with in  &lt;#&gt;  minutes. Got any space,wil &lt;#&gt; minutes. got space,1
ham,Just sleeping..and surfing,sleeping..and surf,1
ham,Thanks for picking up the trash.,thank pick trash.,1
ham,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,go tell friend sure want live smoke much spend hour beg come smoke,1
ham,Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx,hi kate love see tonight ill phone tomorrow. got sing guy gave card! xxx,1
ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,happi new year dear brother. realli miss you. got number decid send text wish happiness. abiola,1
ham,That means get the door,mean get door,1
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,opinion me? 1. 2. jada 3. kusruthi 4. lovabl 5. silent 6. spl charact 7. matur 8. stylish 9. simpl pls reply..,1
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?","hmmm ... thought said 2 hour slave, 3 ... late ... punish ?",1
ham,Beerage?,beerage?,1
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,import custom servic announc premier. call freephon 0800 542 0578 now!,0
ham,Dont think so. It turns off like randomlly within 5min of opening,dont think so. turn like randomlli within 5min open,1
ham,"She was supposed to be but couldn't make it, she's still in town though","suppos make it, still town though",1
ham,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,own. time fix spelling. sometim get complet diff word. go figur,1
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),ever thought live good life perfect partner? txt back name age join mobil community. (100p/sms),0
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, Â£3 per pole. UnSub 08718727870.","5 free top polyphon tone call 087018728737, nation rate. get toppoli tune sent everi week, text subpoli 81618, â£3 per pole. unsub 08718727870.",0
ham,Gud mrng dear hav a nice day,gud mrng dear hav nice day,1
ham,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,hope enjoy game yesterday. sorri i'v touch pls know fond bein thot off. great week. abiola,1
ham,All e best 4 ur driving tmr :-),e best 4 ur drive tmr :-),1
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATÂS AL!!!!!!!!!,y?where u dogbreath? sound like jan c thatâ al!!!!!!!!!,1
ham,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,omg want scream. weigh lost weight! woohoo!,1
ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,general one. uncount noun - u dictionary. piec research?,1
ham,it's really getting me down just hanging around.,realli get hang around.,1
spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa","orang customer, may claim free camera phone upgrad loyalty. call 0207 153 9996. offer end 14thmarch. t&c apply. opt-out availa",0
ham,Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic,petey boy wherear friendsar thekingshead come canlov nic,1
ham,Ok i msg u b4 i leave my house.,ok msg u b4 leav house.,1
ham,Gimme a few was  &lt;#&gt;  minutes ago,gimm &lt;#&gt; minut ago,1
